Technologies
Biomass
Hydro Run-of-river and poundage
Fossil Gas
Fossil Coal-derived gas
Solar
Waste
Fossil Oil shale
Other
Fossil Peat
Other renewable
Hydro Water Reservoir
Geothermal
Nuclear
Hydro Pumped Storage
Fossil Hard coal
Wind Onshore
Fossil Brown coal/Lignite
Fossil Oil
Wind Offshore
Marine
